,Nombre de déplacements,+/-,Nombre de déplacements en transports publics,+/-,Nombre de déplacements en transports publics des possesseurs d'un abonnement général,+/-,Nombre de déplacements en transports publics des possesseurs d'un abonnement demi-tarif,+/-,Nombre de déplacements en transports publics des possesseurs d'un abonnement communautaire,+/-,Nombre de déplacements en transports publics des possesseurs d'un abonnement communautaire et d'un abonnement demi-tarif,+/-
Total,3.3670153430049696,0.017535045753395737,0.44963444766991045,0.007691838516318962,1.2097498345864361,0.03461433596377168,0.5162622842933996,0.014068899414176862,1.3055665574447892,0.02900690431430559,1.3552532811946743,0.044843467023673776
Hommes,3.448184538912166,0.024778470121518674,0.4060413055360649,0.010428757085110792,1.151159525488845,0.047367056634938835,0.4813743040548896,0.02020811133792328,1.3121858771467332,0.043573750111787504,1.3659240601936873,0.06935322709466323
Femmes,3.2879974526755964,0.02477962980210629,0.4920721986633216,0.011258719929776987,1.2677672287973594,0.05041961314970418,0.5437704974143941,0.01946098316716441,1.3004833127728606,0.03885977884933709,1.347788300333767,0.058779839968557956
6-17 ans,3.5149604553991214,0.04295538788832046,0.6196365300639114,0.023782270503835932,1.398388463208221,0.11174672047733386,1.183659776083538,0.10929735259547577,1.5341898400408973,0.07008460374939611,1.559618398105679,0.1816222186872566
18-24 ans,3.521964247176923,0.06046609291806194,0.8679836454251779,0.03407157676417885,1.3874069951723338,0.08072187353090118,0.931087598328198,0.06334326947619841,1.4234799622478131,0.07062823422839629,1.4825667956033766,0.11119122623893274
25-44 ans,3.678900780592289,0.03633596266469706,0.47716066876277496,0.015968706007949123,1.3515315096898457,0.07251881891866971,0.6162043461003002,0.03046864951486712,1.3624656120370233,0.059703305743089095,1.518135017290296,0.08919473132686774
45-64 ans,3.4816046940077428,0.031126415000797963,0.34295874780423263,0.011932797831982695,1.0697460694979677,0.06313033174259054,0.4323659349641457,0.021476563596199337,1.2640758997023698,0.0570181137074401,1.357159471087251,0.08161867948574457
65-79 ans,2.7735456118285895,0.04012988302440813,0.2857349695462874,0.015079127434518924,0.9624271319414358,0.08432037170183912,0.33138411570369103,0.023536492566955933,0.9413409988575364,0.08111807846980591,0.9937527564466221,0.10603890115848037
80 ans et plus,2.0438108174970484,0.07178905831502098,0.2725121472355909,0.02899581880508513,0.8544112274102171,0.15252589884331175,0.30224649707293644,0.048872996298745384,0.7652593052497221,0.11545680716779151,0.7624418815100863,0.15543342138845517
Voiture toujours disponible,3.5417249096337113,0.023860396502259344,0.21874643384415787,0.007146946007702985,0.8759616043648558,0.05132068459468365,0.29358150396971994,0.013502805453718118,0.9985581145269299,0.04793017601875784,1.0350722203210143,0.07135211859787143
Voiture disponible sur demande,3.4712662485673937,0.05033597693586781,0.7610427242274728,0.026470460569809957,1.4306259934335126,0.07024386994228861,0.7626618541598299,0.040179246738287926,1.3782089416936796,0.06549664951896911,1.4877112742441199,0.08798139881353913
Voiture pas disponible,2.928721066538652,0.07805688136609493,0.7983566353116401,0.04824594349837561,1.3896353343514456,0.13350270183206928,0.8368111217217721,0.07886977810998953,1.4444774228721153,0.11834977669951656,1.4706913514921522,0.15494090761718404
Lundi à vendredi,3.66593963090948,0.021049505685417687,0.5249184226599055,0.009827555446880706,1.4093213735421708,0.0421636897030535,0.5963378594433018,0.017756033533888355,1.575930861409349,0.034961563904533276,1.6157616509381212,0.053480722651618996
Samedi,3.1871486233633197,0.0483467665968927,0.3433289304334647,0.019378650310961563,0.8895031167533489,0.09244849703720541,0.4114740110463695,0.03661239604360999,0.8768673430249825,0.07293353108467987,0.9441364213321326,0.1185043744792331
Dimanche,2.0770673159518447,0.03157107383160285,0.18461658727168787,0.011113421826254095,0.549853316546981,0.057800553981668654,0.2191822992794798,0.0213570372298814,0.4352720759971787,0.04503724823098007,0.5246864953731722,0.07574975022529028
